stockCode,pageSize,docSize,htmlSize
600200,501,210,291
600211,1235,495,740
600216,350,20,330
600219,755,2,753
600222,703,0,703
600226,2014,1128,886
600227,1354,526,828
600235,1114,473,641
600237,969,113,856
600243,138,0,138
600249,362,6,356
600252,373,0,373
600256,315,53,262
600267,643,246,397
600268,1338,191,1147
600277,1149,461,688
600282,2175,945,1230
600285,403,0,403
600290,1601,572,1029
600293,711,0,711
600295,152,0,152
600298,9110,464,8646
600302,972,0,972
600305,353,59,294
600308,1567,68,1499
600309,1639,692,947
600315,428,149,279
600321,197,0,197
600328,229,2,227
600330,353,113,240
600343,1078,147,931
600352,457,0,457
600353,1712,605,1107
600356,1133,133,1000
600362,2397,777,1620
600366,281,171,110
600367,126,0,126
600378,403,0,403
600379,2875,147,2728
600380,854,2,852
600387,414,0,414
600388,1907,32,1875
600389,1798,365,1433
600396,11101,0,11101
600399,2832,10,2822
600405,449,115,334
600406,541,0,541
600408,3215,928,2287
600409,666,193,473
600418,9073,1581,7492
600419,451,1,450
600420,2254,0,2254
600423,582,409,173
600433,703,259,444
600456,1124,217,907
600458,1324,423,901
600469,189,49,140
600470,990,0,990
600475,1683,139,1544
600477,1905,755,1150
600486,801,177,624
600488,194,5,189
600489,6003,41,5962
600496,3790,965,2825
600497,5850,398,5452
600500,2177,753,1424
600513,281,55,226
600516,4059,0,4059
600521,2186,202,1984
600526,269,0,269
600531,474,0,474
600535,16134,8,16126
600538,230,0,230
600547,1254,3,1251
600558,1691,56,1635
600560,362,75,287
600563,345,206,139
600569,814,0,814
600582,359,350,9
600583,673,464,209
600586,224,0,224
600589,135,8,127
600592,2016,132,1884
600594,2363,545,1818
600595,788,1,787
600597,1222,459,763
600609,491,6,485
600615,310,0,310
600619,1909,412,1497
600636,838,26,812
600644,9216,32,9184
600653,1664,0,1664
600664,6150,43,6107
600668,3980,22,3958
600671,165,2,163
600674,391,0,391
600688,1330,147,1183
600703,134,0,134
600707,439,0,439
600719,374,76,298
600720,3192,0,3192
600740,6963,0,6963
600746,1366,36,1330
600765,704,0,704
600783,340,99,241
600789,256,5,251
600795,22694,1446,21248
600796,875,490,385
600801,2926,456,2470
600802,383,191,192
600808,2676,10,2666
600819,323,14,309
600835,1150,786,364
600860,296,38,258
600867,175,0,175
600868,228,47,181
600869,1433,0,1433
600872,1420,18,1402
600875,728,5,723
600877,10391,66,10325
600881,5539,96,5443
600884,1108,857,251
600885,1634,588,1046
600886,1288,8,1280
600889,765,209,556
600961,507,16,491
600969,1277,81,1196
600970,1614,80,1534
600971,1679,175,1504
600979,3355,0,3355
600980,263,60,203
600985,3659,0,3659
600992,1285,0,1285
600997,1903,0,1903
601001,205,5,200
601011,479,27,452
601015,4098,0,4098
601016,6568,608,5960
601020,696,99,597
601038,2193,1304,889
601058,730,483,247
601100,939,219,720
601106,8617,40,8577
601113,726,0,726
601137,464,94,370
601163,1867,187,1680
601168,590,9,581
601179,1232,5,1227
601206,202,0,202
601216,5700,1,5699
601218,438,189,249
601222,2137,549,1588
601225,612,58,554
601233,1957,0,1957
601311,239,0,239
601313,524,71,453
601369,2764,0,2764
601558,270,0,270
601567,5114,1294,3820
601600,33977,3988,29989
601608,3944,280,3664
601633,406,112,294
601636,463,12,451
601677,1509,127,1382
601700,565,0,565
601727,1197,9,1188
601808,307,218,89
601899,7337,2661,4676
601958,5945,304,5641
601969,556,0,556
601985,276,23,253
601989,1429,546,883
601991,3495,1588,1907
601992,9979,1723,8256
601996,448,273,175
603002,858,354,504
603011,828,6,822
603012,227,53,174
603060,2551,714,1837
603088,312,0,312
603169,378,0,378
603188,251,0,251
603227,214,15,199
603288,889,169,720
603299,3108,34,3074
603338,683,334,349
603366,499,0,499
603399,1545,0,1545
603456,277,0,277
603566,632,0,632
603601,115,2,113
603618,178,0,178
603658,339,38,301
603669,647,212,435
603703,1122,228,894
603718,863,0,863
603766,1613,802,811
603798,1509,1,1508
603799,135,0,135
603806,491,10,481
603866,285,0,285
603968,227,12,215
603979,846,0,846
603998,1278,255,1023
