"page_size","stockCode","x1","x2","x3","x4","x5","total_words_num","result"
787,"000698",0.000713263490083115,0.00201594407647285,0.0056877603067721,7.56839073078546e-05,0.000366952277856265,436024,1
219,"000707",0.000245465350627875,0.000749315280864038,4.52173014314506e-05,9.68942173531084e-06,6.13663376569686e-05,309616,3
336,"000716",0.000110118818204843,0.000132142581845812,0.00114523570933037,1.10118818204843e-05,0.000220237636409686,90811,3
416,"000725",6.22252643462569e-05,0.000286680682166684,0.00102671686171324,1.55563160865642e-05,0.000246678726515519,449978,3
680,"000733",0.000572378776589708,0.00175167642835643,0.00379447654480591,9.86859959637428e-06,0.000468758480827778,202663,1
4209,"000737",0.000440327305684715,0.00202961361599864,0.00154948996490219,5.07082465730212e-05,0.000149557233563467,1557932,3
2948,"000755",0.000368948250253414,0.00174394611073392,0.000650413925704472,3.04287216703847e-05,0.000264349519511467,525819,3
1839,"000756",0.000998089780324737,0.00360076408787011,0.00287806431072907,4.29799426934097e-05,0.00039318688315823,628200,2
385,"000766",0.00046092891887651,0.000362858936136827,0.000617840891260003,1.96139965479366e-05,8.82629844657147e-05,101968,3
993,"000778",0.000601314645619509,0.00268014527761838,0.00358039920420302,9.96464269883757e-05,0.000281758862518855,291029,1
626,"000780",0.000176103188641736,0.000679627861350698,0.000174798720577723,3.652510579236e-05,7.82680838407714e-05,766596,3
516,"000782",0.00126291247045109,0.00188627311291733,0.00171626566497199,2.42867782779055e-05,0.00136005958356271,123524,3
266,"000788",0.000372822378380821,0.00119755066995052,0.000881216530718304,0,0.000101678830467497,88514,3
377,"000789",0.000840882161831594,0.00635120844959166,0.00209583508517117,2.54812776312604e-05,0.000522366191440839,156978,4
1562,"000790",0.000367576418301964,0.000300744342247061,0.00128930213389249,5.56933967124188e-06,0.00145916699386537,359109,3
4265,"000792",0.000567816922184282,0.00130355058659776,0.00135056727442194,7.44000334800151e-05,0.000269700121365055,1935483,3
281,"000807",0.00095222150137078,0.00380888600548312,0.00160098779900802,7.32478077977523e-05,0.000533662599669338,95566,2
349,"000811",0.000946526248667391,0.00478244841431945,0.00354698257395359,3.98537367859954e-05,0.000239122420715972,100367,4
893,"000821",7.85808302064711e-05,0.000746517886961476,0.000648291849203387,1.96452075516178e-05,0.000108048641533898,101806,3
1004,"000830",0.000968479330612181,0.00189774897172589,0.00316814291147628,3.5288720548622e-05,0.000309756547037904,255039,3
123,"000885",0.00167317345231456,0,0,0,0,1793,3
886,"000887",0.000572449969040971,0.000963818825426125,0.00300828300057245,1.16826524294076e-05,0.000227811722373448,171194,3
220,"000890",0.000254625700220676,0.00135800373451027,0.00662026820573757,0.00036071974197929,0.000297063316924122,47128,1
138,"000893",0.000773257197240067,0.000237925291458482,0.00136807042588627,0,0,16812,3
345,"000911",0.000793491764517292,0.00412776018915561,0.000817536969502665,3.206027331383e-05,0.000777461627860378,124765,2
486,"000912",0.00162616096566454,0.00321187016601404,0.00173133555548364,9.7084236756092e-05,0.000291252710268276,123604,2
284,"000922",0.000957107408720312,0.00363346331088267,0.00428925912796881,8.86210563629918e-05,0,56420,1
1199,"000960",0.000354487652550539,0.00196257254912071,0.000941003586770521,8.37879906028546e-05,0.000119236755857908,310307,3
1971,"000969",0.00059301627072348,0.002218034882706,0.00355296328433462,5.64777400689028e-05,0.000159164540194181,389534,1
560,"000972",0.000699279890495745,0.00115306790454086,0.000743914777123133,3.71957388561566e-05,9.67089210260073e-05,134424,3
1135,"000973",0.000347612630783888,0.0012209357217039,0.00189041189950991,8.58302792058982e-06,0.000167369044451502,466036,3
581,"000976",0.000223015901859787,0.000497242862665156,0.000302310444743267,1.982363572087e-05,2.9735453581305e-05,605338,3
24417,"000983",0.00109484831967181,0.00288122227762034,0.00150462933063289,0.000190843638674544,0.000403322681395103,6193552,3
883,"000985",0.00023233445008759,0.000896810977338098,0.000461571107507346,1.54889633391727e-05,0.000206003212410997,645621,3
1673,"000988",0.000251138438817022,0.000617035501994139,0.00328475772624912,4.15792117246724e-05,5.98740648835283e-05,601262,1
455,"000990",0.000817696677569289,0.00150628335341711,0.0037298444941757,1.43455557468296e-05,0.000989843346531245,69708,1
1171,"000999",0.000648562701368258,0.00126365119879493,0.00137244236160509,2.51056529561906e-05,0.000422611824762542,238990,3
