addrReg,addrWork,area,ename,industry,institutional,is_target,listingDate,lootchips,market,name,offerDate,pricelimit,registerDate,shareholders,sname,stockCode,webSite
安徽省蚌埠市中粮大道1号,安徽省蚌埠市中粮大道1号,安徽,"COFCO Biochemical (Anhui) Co., Ltd.",特种化工品,96441.11,1.0,1999-07-11 16:00:00,9.64,深圳证券交易所,中粮生物化学(安徽)股份有限公司,1999-06-20 16:00:00,9.64,1998-08-27 16:00:00,113.41,中粮生化,000930,http://www.zlahsh.com
浙江省绍兴市上虞区经济开发区,浙江省绍兴市上虞区人民西路1801号,浙江,"Wolong Electric Group Co., Ltd.",工业机械,128889.96,1.0,2002-06-05 16:00:00,11.11,上海证券交易所,卧龙电气集团股份有限公司,2002-05-22 16:00:00,12.89,1998-10-20 16:00:00,112.05,卧龙电气,600580,http://www.wolong.com.cn
湖北省荆门市杨湾路132号,湖北省荆门市杨湾路132号,湖北,"Hubei Biocause Pharmaceutical Co., Ltd.",通用化工品,425919.46,1.0,1996-11-11 16:00:00,13.54,深圳证券交易所,天茂实业集团股份有限公司,1996-10-30 16:00:00,42.59,1993-12-30 16:00:00,111.67,天茂集团,000627,http://www.biocause.com
辽宁省沈阳经济技术开发区开发大路17甲1号,辽宁省沈阳经济技术开发区开发大路17甲1号,辽宁,"Shenyang Machine Tool Co., Ltd.",工业机械,76547.09,1.0,1996-07-17 16:00:00,7.4,深圳证券交易所,沈阳机床股份有限公司,1996-06-26 16:00:00,7.65,1993-05-19 16:00:00,111.12,沈阳机床,000410,http://www.smtcl.com
浙江省德清县钟管镇工业区,浙江省德清县钟管镇工业区,浙江,"Zhejiang Shenghua Biok Biology Co., Ltd.",特种化工品,109498.3,1.0,1999-11-15 16:00:00,10.95,上海证券交易所,浙江升华拜克生物股份有限公司,1999-08-19 16:00:00,10.95,1999-05-10 16:00:00,111.03,升华拜克,600226,http://www.biok.com
江苏省江阴市华士工业集中区红苗园区勤丰路1015号,江苏省江阴市华士工业集中区红苗园区勤丰路1015号,江苏,"Jiangsu Akcome Science and Technology Co., Ltd.",电子电气组件与设备,449086.16,1.0,2011-08-14 16:00:00,27.96,中小企业板,江苏爱康科技股份有限公司,2011-08-02 16:00:00,44.91,2006-03-08 16:00:00,110.98,爱康科技,002610,http://www.akcome.com
山东省邹平县开发区会仙二路,北京市朝阳区建国路58号晋商博物馆1B,山东,"Shandong Qixing Iron Tower Co., Ltd.",有色金属,41680.0,1.0,2010-02-09 16:00:00,3.83,中小企业板,山东齐星铁塔科技股份有限公司,2010-01-31 16:00:00,4.17,2007-06-28 16:00:00,110.74,齐星铁塔,002359,http://www.qxtt.cn
福建省福州市马尾区儒江西路6号1#楼第三、四层,福建省福州市马尾区儒江西路6号1#楼第三、四层,福建,"CPT Technology (Group) Co., Ltd.",电子电气组件与设备,172877.05,1.0,1993-11-25 16:00:00,7.77,深圳证券交易所,华映科技(集团)股份有限公司,,17.29,1993-11-17 16:00:00,110.73,华映科技,000536,http://www.cpttg.com
广东省珠海市金湾区三灶科技工业园星汉路19,广东省广州市萝岗区科学城科学大道中99号科汇金谷科汇三街3号,广东,"By-health Co., Ltd.",食品生产（IV）,145602.19,1.0,2010-12-14 16:00:00,8.6,创业板,汤臣倍健股份有限公司,2010-12-05 16:00:00,14.56,2005-03-31 16:00:00,110.7,汤臣倍健,300146,http://www.by-health.com.cn
广东省佛山市顺德区陈村镇广隆工业园环镇西路1号,广东省佛山市顺德区陈村镇广隆工业园环镇西路1号,广东,"Keda Clean Energy Co., Ltd.",工业机械,141146.43,1.0,2002-10-09 16:00:00,13.77,上海证券交易所,广东科达洁能股份有限公司,,14.11,1996-12-10 16:00:00,110.2,科达洁能,600499,http://www.kedachina.com.cn
浙江省绍兴市上虞区通江西路218号,浙江省杭州市余杭区五常街道创智天地中心2号楼10楼,浙江,"Zhejiang Jingsheng Mechanical and Electrical Co., Ltd.",工业机械,88507.55,1.0,2012-05-10 16:00:00,8.2,创业板,浙江晶盛机电股份有限公司,2012-05-01 16:00:00,8.85,2006-12-13 16:00:00,109.92,晶盛机电,300316,http://www.jsjd.cc
湖南省株洲市高新技术开发区黄河南路,湖南省株洲市天元区海天路18号,湖南,"Zhuzhou Times New Material Technology Co., Ltd.",特种化工品,80279.82,1.0,2002-12-18 16:00:00,6.61,上海证券交易所,株洲时代新材料科技股份有限公司,,8.03,1994-05-23 16:00:00,109.73,时代新材,600458,http://www.trp.com.cn
山东省淄博市临淄区胶厂南路1号,山东省淄博市临淄区杨坡路206号,山东,"Zibo Qixiang Tengda Chemical Co., Ltd.",特种化工品,177520.93,1.0,2010-05-17 16:00:00,16.76,中小企业板,淄博齐翔腾达化工股份有限公司,2010-05-03 16:00:00,17.75,2007-10-30 16:00:00,109.11,齐翔腾达,002408,http://www.qxtdgf.com
江苏省江阴市利港镇双良工业园,江苏省江阴市利港镇西利路88号,江苏,"Shuangliang Eco-energy Systems Co., Ltd.",电子电气组件与设备,162049.58,1.0,2003-04-21 16:00:00,16.2,上海证券交易所,双良节能系统股份有限公司,,16.2,1995-10-04 16:00:00,108.9,双良节能,600481,http://www.Shuangliang.com
北京市海淀区学院南路76号,北京市海淀区学院南路76号,北京,"Advanced Technology and Materials Co., Ltd.",工业金属,102600.81,1.0,2000-05-28 16:00:00,8.61,深圳证券交易所,安泰科技股份有限公司,2000-05-11 16:00:00,10.26,1998-12-29 16:00:00,108.37,安泰科技,000969,http://www.atmcn.com
